upn,gender_ap2,fsm_real,sen_real,pp_real,eal_real,ethnicity_code_real,pearson_btec_sport_ap1,pearson_btec_sport_ap2,pearson_btec_sport_real
G936239910030,Male,F,N,F,T,woth,,,
L394201008038,Female,T,K,T,T,bafr,,,
Y888201710013,Male,F,N,F,F,ooth,,,
M888201710014,Male,F,K,F,F,ooth,,D*2,
D931252109051,Female,T,N,T,T,apkn,,,
R928218115049,Female,F,N,F,T,apkn,M2,M2,M2
Y931252508056,Male,F,N,F,F,aban,P2,P2,P2
M931321008051,Male,F,K,F,F,aban,P2,M2,M2
Q931325208064,Male,T,N,T,T,apkn,,,
T931412020034,Female,F,N,F,F,oara,,,
H931325209012,Male,T,N,T,F,bafr,D2,D*2,D*2
R931258916027,Male,F,N,F,T,oara,,,
Q931258910001,Male,F,N,F,F,wbri,P2,P2,P2
C931101109007,Female,F,N,F,F,wbri,,,
M931325212046,Male,F,K,F,F,wbri,,,
X931235209022,Male,F,K,F,F,aoth,P2,P2,P2
L931252709035,Female,F,N,F,F,wbri,D2,D*2,D*2
L931252508066,Female,T,N,T,T,apkn,,,
C931252508049,Female,T,N,T,F,wbri,P2,P2,P2
D931252714054,Male,F,N,T,T,ooth,D2,D*2,D*2
Z931101108062,Male,T,K,T,F,wbri,,,
N931101108063,Female,T,K,T,F,wbri,P1,P1,P1
Y931100509003,Female,F,N,F,F,apkn,,,
N931252909043,Male,F,N,F,F,aoth,D2,D2,D2
A931383310001,Female,F,N,F,F,wbri,,,
P931261209024,Male,T,K,T,F,wbri,,,
V802229210007,Female,T,N,T,F,wbri,,,
J888211710006,Female,F,N,F,F,aban,,,
C931101008023,Female,T,N,T,T,aban,,,
Q931252109012,Female,F,N,T,F,mwbc,,,
T931101109001,Female,,,,,,,,
M931100509004,Male,F,N,F,F,aind,,,
K931252509018,Female,F,K,F,F,nobt,,,
A931383810034,Male,F,N,F,F,ofil,P2,M2,M2
D931100608056,Female,F,N,F,F,wbri,,,
M931412019009,Male,F,N,F,F,woth,P1,P1,P1
M931100609016,Male,F,N,F,F,wbri,,,
G931321110003,Male,F,N,F,F,wbri,,,
C931316110004,Female,F,N,F,F,wbri,,,
A931259308039,Female,T,N,T,F,wbri,,,
J931101109042,Female,,,,,,,,
U931258914007,Female,F,N,F,F,ofil,,,
Q879418719002,Female,T,N,T,F,woth,,,
N931100609007,Male,F,N,F,F,wbri,,,
G931383411018,Male,T,K,T,F,ooth,P1,P2,P2
N931252508050,Male,T,N,T,F,apkn,,,
F931252108061,Female,F,N,F,F,wbri,P2,M2,M2
W931101109061,Female,F,N,F,F,ofil,,,
B931412016036,Female,F,N,F,F,wbri,,,
T931259308044,Male,,,,,,,,
A931383810005,Male,F,K,F,F,wbri,P2,M2,M2
C931101109036,Female,T,E,T,F,wbri,,,
B931252509032,Female,F,N,F,F,wbri,,,
R931325310022,Female,F,N,F,F,wbri,,,
P931318010017,Female,,,,,,,,
E931252916073,Male,T,N,T,F,ooth,,,
D931325308030,Male,T,N,T,F,bcrb,P2,M2,P2
G931101109060,Male,F,N,F,F,wbri,,,
U931252114001,Female,F,N,F,F,mwba,,,
N931325309008,Female,T,K,T,F,wbri,,,
G931259509014,Female,F,N,F,F,mwas,,,
X931325210023,Male,F,K,F,T,aoth,,,
J931101108070,Female,F,N,F,F,ofil,,,
V931252509026,Female,T,N,T,F,wbri,P2,M2,P2
C931101108064,Male,,,,,,,,
V931414517045,Male,F,N,F,F,nobt,,,
U931412020025,Male,F,N,F,F,ooth,,,
D931101009015,Female,F,K,F,F,apkn,,,
C931100609010,Female,F,K,F,F,wbri,,,
N931412020041,Female,F,N,F,F,bafr,,,
K931100609063,Female,F,K,F,F,woth,,,
M931259308029,Male,T,N,T,F,wbri,,,
M931252110020,Male,T,N,T,T,bafr,,,
P931252109019,Male,F,N,T,F,nobt,M2,D2,D2
A380404117005,Female,T,N,T,T,mwas,,,
V931252111045,Male,F,N,F,T,aind,,,
D931383810007,Female,F,K,F,F,wbri,M2,D2,D2
Y931101108071,Male,T,K,T,F,wbri,,,
P825200110001,Female,,,,,,,,
H931100509009,Female,F,N,F,F,apkn,,,
L931101109024,Male,T,N,T,F,wbri,P2,P2,P2
B931259309004,Male,F,N,F,F,wbri,,,
N931253409013,Male,F,K,F,F,moth,,,
W931252715060,Male,,,,,,,,
M931252909052,Female,T,N,T,F,wbri,,,
Y931321610021,Male,F,N,F,T,woth,,,
H931252109073,Female,T,N,T,F,moth,,,
T931252108049,Male,T,K,T,F,oara,,,
V931252710004,Female,F,N,F,F,wbri,,,
Q931252907052,Female,T,N,T,T,wbri,,,
M931321610022,Female,F,N,F,F,wbri,,,
G931321110032,Female,F,N,F,F,wbri,,,
W931321110033,Female,F,N,F,F,wbri,,,
E931100609021,Female,T,N,T,F,mwbc,,,
C673336808019,Female,F,N,F,F,wbri,,,
V931412017033,Female,F,N,F,F,nobt,,,
T931383615020,Female,F,N,F,F,woth,,,
H886247410029,Male,F,N,F,F,aoth,,,
K931252509020,Male,F,K,F,F,aoth,,,
L931252909059,Female,F,K,F,F,wbri,,,
W931252111065,Male,F,N,F,F,aoth,,,
M931252710007,Male,F,N,F,F,wbri,,,
L931412020030,Male,F,N,F,F,woth,P2,P1,P1
V931321008075,Female,T,N,T,F,aban,,,
U931325209009,Female,T,N,T,F,wbri,M2,D*2,D*2
D931100609030,Female,F,N,F,F,wbri,,,
P931383310002,Female,F,N,T,F,wbri,,,
Z931325309007,Female,F,N,F,F,wbri,P2,P2,P2
W931235209029,Male,F,N,T,F,mwbc,,,
Q931235212001,Male,F,N,F,F,woth,,,
F931321308025,Female,T,K,T,F,wbri,M2,M2,M2
R931252710029,Female,F,N,F,F,wbri,,,
H931100509011,Female,F,N,F,F,wbri,,,
W310350110023,Female,F,K,F,T,woth,P2,M2,M2
G931321113006,Male,F,N,F,F,wbri,,,
B931100609017,Female,F,N,F,F,mwas,M2,M2,M2
Y931252509028,Male,T,K,T,T,aban,P2,P2,P2
Q931253109015,Male,F,N,F,F,nobt,P1,P2,P2
L931100509013,Male,F,N,F,F,apkn,,,
A931252509012,Female,T,N,T,F,apkn,,,
Y931321309029,Male,F,N,F,F,wbri,,,
Z931412020040,Female,F,N,F,F,bafr,,,
P931101109055,Male,F,K,F,F,apkn,M2,M2,M2
D931325208074,Female,T,N,T,F,apkn,,,
W931254310067,Female,F,N,F,F,refu,,,
T887690719015,Female,F,N,F,F,weeu,,,
Y931252211003,Male,F,K,F,T,nobt,,,
K931252910051,Male,F,N,F,F,bafr,D2,D*2,D*2
J931101109071,Female,F,N,T,F,apkn,,,
F931100509027,Female,F,K,F,F,wbri,,,
W391377809016,Male,F,K,F,F,bafr,,,
Z931254309090,Female,T,N,T,F,bafr,,,
B931252110021,Male,,,,,,,,
A931100509014,Female,T,N,T,F,nobt,,,
W931321310001,Female,F,N,F,F,woth,,,
B931252710010,Female,F,K,F,F,wbri,P2,P2,P2
C931321610014,Male,F,N,F,F,woth,,,
U931101109019,Male,F,N,F,F,ooth,D2,D*2,D*2
B931383814058,Female,F,N,F,F,wbri,,,
Q931202016013,Male,T,K,T,F,mwba,P2,P1,P1
T931412018023,Male,F,N,F,F,aind,,,
T931252509015,Male,F,K,F,F,apkn,,,
R931321009045,Female,F,K,F,F,apkn,,,
Q931325810006,Female,F,N,F,F,woth,,,
N304350709089,Male,T,N,T,F,mwba,,,
U931252710013,Male,F,N,F,F,wbri,,,
H931252710014,Male,F,N,F,F,wbri,,,
R931383816054,Male,F,N,F,T,ooth,,,
R931253116053,Female,F,N,F,F,woth,,,
C931253116052,Female,F,N,F,F,woth,,,
X931412020027,Male,F,N,F,F,woth,M2,P2,P2
V333218013124,Female,F,N,F,F,woth,,,
D931325309031,Female,T,N,T,F,mwbc,,,
V931101108067,Male,,,,,,,,
H931101109051,Male,T,N,T,F,mwba,M2,M2,M2
V931252909047,Female,T,N,T,T,aoth,,,
R931100609011,Female,F,N,F,F,nobt,,,
L931383612038,Female,F,N,F,F,aoth,M2,P2,P2
C931325309038,Male,T,N,T,F,wbri,,,
Q931100609018,Male,F,N,F,F,both,U,P2,U
H931252209056,Female,F,N,F,T,woth,,,
U931101008035,Female,T,N,T,T,aind,,,
W931252109025,Male,,,,,,,,
R931412017031,Male,F,N,F,T,aind,,,
Q931100609020,Female,F,N,F,F,wbri,,,
N931100608064,Female,F,N,F,F,wbri,D2,D*2,D*2
F306200709087,Female,F,N,F,F,wbri,,,
X931252710015,Female,F,N,F,F,wbri,,,
F931100609041,Male,F,N,F,F,wbri,,,
R931101109037,Female,F,K,F,T,aoth,,,
F931235210018,Male,F,N,F,F,wbri,,,
T931252911047,Female,F,N,F,T,woth,,,
H931321309010,Male,F,K,F,F,wbri,,,
F931252109004,Male,T,N,T,F,mwas,P2,M2,M2
M931252916068,Female,F,N,F,T,bafr,,,
Y931321110015,Male,T,N,T,T,both,P1,M2,M2
C373236909082,Male,T,N,T,F,aoth,M2,M2,M2
V931240110042,Female,F,N,F,F,bafr,,,
L931412020028,Female,F,N,F,F,bafr,,,
G931383410017,Male,F,N,F,F,woth,,,
W931321009038,Male,F,N,F,T,apkn,P2,M2,M2
N931383610018,Female,F,N,F,F,bafr,,,
B931252109011,Female,T,N,T,F,bafr,,,
K931259808024,Female,F,N,F,F,bafr,,,
D316209709080,Male,F,K,F,F,both,P1,P1,P1
P931325208073,Female,F,N,F,F,bafr,,,
T931252910046,Female,F,N,F,F,wbri,,,
D931252710019,Male,F,K,F,F,wbri,P2,P2,P2
T931252110004,Male,F,N,T,F,wbri,P2,M2,M2
L931321113001,Female,F,N,F,F,wbri,,,
Z931383214002,Female,F,N,F,F,woth,D2,D2,D2
W931383410018,Female,F,N,F,F,woth,,,
M931321110016,Male,F,N,F,T,wita,,,
N931252109001,Female,,,,,,,,
K931325309006,Female,F,N,F,F,wbri,D2,D*2,D*2
U931383908031,Female,F,N,F,T,wbri,,,
Q931321008053,Male,F,N,F,F,nobt,P2,,M2
V931325309014,Female,F,N,F,F,aoth,D*2,D*2,D*2
E931101109020,Female,,,,,,,,
X931325208068,Male,T,N,T,F,bafr,D2,D2,D2
X931252108044,Female,T,N,T,F,nobt,P1,P1,P1
P931252710020,Female,F,N,F,F,wbri,,,
Y931325210014,Female,T,N,T,F,wbri,,,
K931325309035,Male,T,K,T,F,wbri,,,
Z931325309036,Male,T,E,T,F,wbri,,,
W931325309034,Male,T,E,T,F,wbri,,,
Q931101109046,Female,T,N,T,F,wbri,,,
M931321115023,Female,F,N,F,F,wbri,,,
Q931101109017,Female,F,N,F,F,wbri,,,
K931101108059,Male,T,N,T,F,wbri,,,
U931101109021,Male,F,N,F,F,bafr,P2,M2,M2
P931252108047,Female,T,N,T,F,nobt,P2,M2,M2
X886463320016,Male,F,N,F,F,oegy,,,
C931100609037,Male,F,K,F,F,bafr,,,
A931252108046,Male,T,N,T,T,nobt,P2,M2,M2
K931101109004,Female,F,N,F,F,aind,,,
D931252109049,Male,F,N,F,T,ooth,M2,M2,M2
B931101108073,Female,F,N,F,F,nobt,,,
V931100509030,Male,F,K,F,F,refu,,,
K931383410019,Male,T,N,T,F,apkn,,,
T931100609002,Female,F,K,F,F,wbri,,,
V931101109012,Male,F,N,F,F,wbri,D2,D2,D2
Y931100509032,Female,F,N,F,F,woth,,,
U931253114004,Female,F,K,F,F,aoth,,,
X931252211041,Female,F,N,F,F,ooth,,,
W931101109032,Male,T,K,T,F,mwbc,M2,M2,M2
T931321112004,Female,F,N,F,F,wbri,,,
Z931101109005,Female,F,N,F,F,bafr,,,
J931384210007,Female,F,K,F,F,wbri,,,
T931100609031,Male,F,N,F,F,woth,,,
H931101008036,Male,F,N,F,F,wbri,,,
Q931252108040,Male,T,K,T,F,wbri,P2,M2,M2
F931100609012,Female,F,N,F,F,woth,,,
U931321010010,Male,,,,,,,,
W931100608061,Male,F,K,F,F,wbri,,,
J931101109013,Female,F,N,F,F,ofil,,,
M931252509029,Female,F,N,T,F,apkn,,,
Z931100609006,Female,F,N,F,F,wbri,,,
Y931412017035,Male,T,N,T,F,ooth,,,
B931235209044,Male,F,N,F,F,wbri,P1,P2,P2
B931325309020,Male,F,K,F,F,wbri,,,
C931253110015,Male,F,N,F,F,ooth,P2,,M2
R931100609009,Female,F,N,F,F,wbri,,,
Q931252909054,Male,F,N,F,T,aind,,,
U931252110024,Male,T,N,T,F,wbri,P2,P2,P1
D931100609028,Male,F,N,F,F,wbri,P2,P2,P2
N931325209054,Male,F,N,F,F,woth,D2,D*2,D*2
Y931325210043,Male,F,K,F,F,apkn,,,
F931252509025,Male,T,N,T,F,nobt,,,
W931101108060,Female,F,N,F,F,aoth,,,
N931240110007,Female,T,K,T,F,wbri,,,
T931100609029,Female,F,N,F,F,moth,D*2,D*2,D*2
W931252509017,Male,T,K,T,F,mwas,,,
U931325208066,Female,F,N,F,F,wbri,M2,D*2,D*2
A931252109020,Male,T,N,T,F,wbri,,,
M931321009023,Female,F,N,F,F,weng,,,
M931235210024,Female,F,K,F,F,wbri,,,
N931101109035,Female,F,N,F,F,wbri,,,
G931100609032,Female,F,N,F,F,wbri,,,
A931252110030,Female,F,N,F,F,mwba,,,
J931101008027,Male,,,,,,,,
L931101008038,Female,F,N,F,F,wbri,,,
K931412020037,Male,F,N,F,F,aoth,,,
