upn,estimate_real,actual_real,gender_ap2,chemistry_gcse_level_1/2_ap1,chemistry_gcse_level_1/2_ap2,chemistry_gcse_level_1/2_real
g936239910030,49,74,Male,7,6,7
y888201710013,77,90,Male,8,8,9
m888201710014,68,82,Male,9,8,8
r928218115049,59,61,Female,6,6,7
q931325208064,59,51,Male,3,5,4
h931325209012,71,82,Male,6,7,9
l931252709035,71,72,Female,6,6,7
n931252909043,56,54,Male,5,5,5
a931383310001,51,69,Female,4,4,5
a931383810034,40,49,Male,4,6,3
d931100608056,77,90,Female,8,9,9
m931100609016,66,75,Male,8,6,6
q879418719002,0,45,Female,3,4,4
n931100609007,73,77,Male,8,7,8
w931101109061,77,82,Female,8,9,9
b931412016036,0,82,Female,7,8,8
r931325310022,77,72,Female,8,8,7
g931101109060,71,75,Male,6,6,7
x931325210023,37,63,Male,5,7,7
u931412020025,0,39,Male,4,4,3
m931252110020,38,59,Male,7,7,6
v931252111045,45,63,Male,7,6,6
b931259309004,43,24,Male,4,3,4
m931252909052,49,60,Female,5,7,5
y931321610021,51,77,Male,7,8,8
e931100609021,56,52,Female,5,5,4
c673336808019,83,85,Female,7,8,8
w931252111065,38,45,Male,3,5,5
m931252710007,75,83,Male,8,8,9
p931383310002,49,59,Female,0,4,5
q931235212001,54,78,Male,9,7,8
h931100509011,61,79,Female,7,7,8
b931100609017,68,62,Female,6,6,6
l931100509013,0,70,Male,6,7,7
y931321309029,68,51,Male,4,5,4
z931412020040,0,2,Female,0,0,0
z931254309090,56,82,Female,5,6,8
w931321310001,66,82,Female,9,8,8
c931321610014,51,74,Male,9,7,8
u931101109019,51,67,Male,7,6,7
b931383814058,63,72,Female,7,7,6
t931412018023,0,77,Male,8,8,8
u931252710013,42,53,Male,4,5,5
r931383816054,43,68,Male,6,6,6
x931412020027,0,29,Male,3,4,2
v931252909047,35,42,Female,3,5,4
r931100609011,0,64,Female,6,7,6
h931252209056,43,61,Female,6,4,4
q931100609020,75,64,Female,6,7,6
n931100608064,68,76,Female,7,6,6
f931100609041,68,64,Male,6,6,7
f931235210018,49,72,Male,8,8,8
m931252916068,24,63,Female,5,8,7
y931321110015,59,48,Male,5,5,4
l931412020028,0,67,Female,7,7,7
g931383410017,56,80,Male,9,8,9
n931383610018,66,71,Female,7,7,8
t931252910046,61,62,Female,6,5,4
m931321110016,63,61,Male,4,5,4
u931383908031,59,72,Female,7,5,5
q931321008053,59,60,Male,3,4,6
v931325309014,71,75,Female,8,7,7
x931325208068,49,65,Male,6,7,7
p931252710020,71,80,Female,7,9,8
q931101109046,54,36,Female,4,4,3
x886463320016,0,86,Male,9,9,9
k931101109004,77,86,Female,9,9,9
t931100609002,63,51,Female,4,4,4
y931100509032,56,74,Female,6,7,7
z931101109005,66,84,Female,8,8,9
t931100609031,77,83,Male,9,8,8
j931101109013,56,62,Female,5,7,5
q931252909054,61,55,Male,6,6,6
d931100609028,51,44,Male,5,5,4
y931325210043,61,26,Male,4,3,3
w931101108060,51,72,Female,3,7,5
t931100609029,66,85,Female,8,9,9
l931101008038,68,83,Female,9,8,8
q931101008033,77,81,Male,8,7,8
c931412020042,0,63,Male,5,5,6
